Unnamed: 0,statement,status
94,"How worried am I? *asked my other self. Until it was sent, sustenance had a good friend. Moved",Anxiety
95,Restless due to imagining too long and high until lazy to sleep.,Anxiety
96,"It's like something's up, something's weird, but I don't know what, it feels so restless.",Anxiety
97,"""No regrets or grudges/angry at things that have passed, and not worrying too much about the future, that's true serenity.""",Anxiety
98,"For God's sake, I'm so tired of worrying.",Anxiety
99,"For 3 years comfortable with this condition, anxiously wondering if a few days later everything will change? I don't know, another crisis of confidence",Anxiety
100,Feeling a little anxious today.,Anxiety
101,"Not regretting or holding grudges/angry at things that have passed, and not worrying too much about the future, that's true serenity",Anxiety
102,"Please be anxious , it must continue like this.",Anxiety
103,"Hmm, I don't know what to do, but I'm nervous",Anxiety
104,Very restless can't sleep ™,Anxiety
105,"I'm sad because I can't produce anything but I like to complain every day because I'm tired of taking care of children I see the body is getting bigger, yes I am getting more and more restless",Anxiety
106,"Every time after sunset, why must this heart be restless as if it can't accept the situation. But with this situation, you can't do anything, if you do it, it can only make things worse",Anxiety
107,Why are you restless and restless yo ”,Anxiety
108,I'm so nervous about what to do,Anxiety
109,"tbtb restless, tf is wrong with meh?",Anxiety
110,"I swear I can't sleep...sleep anyway, but I don't sleep...so restless..",Anxiety
111,"Why does it seem like tonight I'm restless, sad like I want to cry but I don't know what to be sad about",Anxiety
112,why so nervous? what is certain is not because thr is without tukin. ..but it's all because of you,Anxiety
113,The script is harmless. But continuing anxiety because the thesis is not finished can be dangerous for the heart.,Anxiety
114,can't you not disturb people's lives? until I'm anxious and can't sleep,Anxiety
115,"how do you keep it calm, original tbtb is excited and then you're sweaty or nervous """,Anxiety
116,And again suddenly feeling nervous and anxious without knowing why :(.,Anxiety
117,"I'm not feeling very good this morning, I'm really worried ”",Anxiety
118,"If you are restless & restless, just complain to your RABB and read the Qur'an so that the heart becomes cool and reduce cynicism towards others #bowochallenge #iwartabowochallenge",Anxiety
119,controlling excessive anxiety,Anxiety
120,"When you hear the song, your heart becomes calm and when you hear the Koran, your heart becomes tense and restless.. it's a sign that your heart is hit by CORONA BLOOD.. you need to think about it.. because life is not a game.",Anxiety
121,restless restlessness haunts self,Anxiety
122,"The peak period of my stress has passed and I am only noisy now. After going out with my friends yesterday, that makes me feel kinda better. At first I was afraid and anxious to go out, yes, because anxiety is still active. But well I hope I'll gain some weight after this storm, bismillaah",Anxiety
123,I'm most worried when my mom is sick.,Anxiety
124,don't worry yet :),Anxiety
125,"""Yesterday, I was worried half to death, now my wife is aware of being stiff again... how about that?""",Anxiety
126,The last time I felt this nervous was on Wednesday. When he found out his mother died. I hope this isn't a sign anymore,Anxiety
127,I don't know how many years it took me to jump in until I could feel the descent without worrying ²,Anxiety
128,"I want to ask, have you ever been worried about the things you like? Even because you really like it, you feel like it's a part of your life. But every time you do or remember it you get worried. What do you think you should do? :(",Anxiety
129,"However, every time I picket, I'm always nervous: ""Even though I'm just a picket, I'm really scared, I'm excited:""",Anxiety
130,BY GOD I'M STILL WORRY.,Anxiety
131,"time goes on..days go on..at the same time my heart is getting restless and hurt...oh Allah I know you are testing me with this patience, and you are testing me with everything that happens..forgive me who is starting to weaken and lose enthusiasm for keep fighting and survive...",Anxiety
132,I want to exhale the restlessness in my chest with my breath,Anxiety
133,Why every morning I want to sleep I'm restless ,Anxiety
134,"Anxious alone, sad alone, not having peace",Anxiety
135,"What's wrong I'm worried, oh I hope it's okay",Anxiety
136,"I really like this, I'm nervous about things I'm not sure about, I don't know why but I feel really nervous. WEIRD.",Anxiety
137,"I'm so nervous, why?",Anxiety
138,but my heart is still restless even though my mouth is talking,Anxiety
139,Since then I was restless to the point of choking. What's wrong?,Anxiety
140,"Starting to worry again if you have a lot of schedules, even though yesterday it was neatly arranged. How come biso missed ouch :')",Anxiety
141,"Adf-my does anyone know why I am here? I've been feeling restless since yesterday, like worrying/worrying too much, suddenly feeling sad, just scared. But I also don't know why",Anxiety
142,"Gegana, restless, speechless, I don't know what the cause is:""",Anxiety
143,I'm lazy.. I'm so nervous,Anxiety
144,Happy but also worried.,Anxiety
145,It's anxious to worry,Anxiety
146,"Honestly, I'm really nervous",Anxiety
147,"Here from now on, my heart is restless",Anxiety
148,"Later when you are tired of the new one, and then you look back and feel guilty for me, don't be a bit nervous. Trust me, I have forgiven you. Even though I will never accept you again.",Anxiety
149,"I need adit not for stalking or for strange things because I myself have started to learn not to stalk just because I'm afraid that mental disorders will get worse even though I still feel anxious and afraid if I don't stalk, I can hold it so that Adit doesn't feel disturbed",Anxiety
150,Keep restless astagfirullah,Anxiety
151,"I'm excited but I don't know why, there's no reason, I'm nervous, I have a stomach ache but I'm scared, I know I'm tired, this is the third time today, hah â€” hah :)",Anxiety
152,"Always worried about the future, even though today has not changed.",Anxiety
153,"every time you worry, why is the disease running to your stomach?",Anxiety
154,"If you're nervous looking for the best position before going to sleep, it feels like someone's watching you ™„",Anxiety
155,Restless and agitated,Anxiety
156,"In the evening, towards the morning. A little worried, a lot of longing",Anxiety
157,"Some days, I don't think I'm doing well, so I feel like I'm really crying, scared, anxious, just sad. until I think of this when I cry, does my fast break or not?",Anxiety
158,"It's been a few days when I sleep by default I'm afraid, restless, nervous, feel alone, sometimes my breath is really heavy.....why is that... like I'm afraid of being restless, oh my God",Anxiety
159,"tired of overtingking, tired of worrying too much, tired of being tired",Anxiety
160,aren't you worried? aren't you worried? don't you worry...,Anxiety
161,"Instead of getting calmer, this heart is getting more restless",Anxiety
162,can i tap the dm or not? I'm very nervous thinking,Anxiety
163,Finally restless again uhh mmhhh ahh,Anxiety
164,"No need to run, just walk one by one the stones that are being stepped on slowly and absorb it without feeling anxious and full of emotions",Anxiety
165,"Lately I'm feeling scared & very anxious thinking about the day for tomorrow's work inspector . Honestly, I'm really scared because I'm not very close to friends, I'm afraid I can't, I'm afraid to disappoint, and if I suddenly remember I cry",Anxiety
166,"This is why I can't sleep, I'm so restless...",Anxiety
167,I want to exhale the restlessness in my chest with my breath,Anxiety
168,Restless restlessness accompanies,Anxiety
169,hlt! why do i like to be nervous tbtb keep worrying so much that i sweat,Anxiety
170,"Not many people are sure of their prayers, not many people are faithful to wait with what is prayed for. Prayer is unique, there is hope and feeling, there is worry and anxiety, there is tears and happiness. But the end of the prayer will always be the best for humans.",Anxiety
171,"I wonder why my heart beats like that sometimes for weeks, then it's back to normal for a few weeks, does anyone know why this isn't it? Or maybe I'm often anxious and stressed, okay?",Anxiety
172,"I'm so nervous I swear, the views are getting slower",Anxiety
173,Just woke up feeling restless and sore ™„,Anxiety
174,I'm so worried 5 days of not coming home wey,Anxiety
175,My life is chaos. There is no solution. Fear of the uncertain. Restless direction.,Anxiety
176,UNDERSTANDING FEEL FEELING«,Anxiety
177,I really can't be told to just listen to it for hours. Immediately anxious innate.,Anxiety
178,I haven't given up… just a little restless.,Anxiety
179,Actually I'm worried. The original looks really scared. I've come to play/bite my nails :(,Anxiety
180,"If I'm honest, I've been nervous since that day even though I said it wasn't....",Anxiety
181,"Lately, I've been feeling restless and restless. Haihh",Anxiety
182,"I'm so nervous, why isn't it?",Anxiety
183,"The default bat is restless, I don't know why",Anxiety
184,you know you're restless,Anxiety
185,"Restless,. Locked in all motion. Whipped in the brain noisy debate about decisions. Make friends with fear and risk",Anxiety
186,"Wow, I'm getting restless, let's sleep",Anxiety
187,"I swear I'm so nervous, why don't you",Anxiety
188,"I was a little worried that the afternoon class would actually be able to reach the target. But God just gave a way, wednesday class was moved even though it was a quiz. At least later in the morning you can make out with data until iftar",Anxiety
189,"–¤ When you're anxious or nervous, do you feel like your heart feels weird, doesn't it? Is it just me?",Anxiety
190,"Come on, come on, let's go... 10 years could be passed before, it's not even a month yet, I'm already restless",Anxiety
191,"Time is slow for those who wait, too long for those who are restless, and too short for those who are happy",Anxiety
192,"Restless, restless, become one. Can't agree. Can't even sleep",Anxiety
193,"May May be accompanied by good news. The injured, get well soon. Sorrow turns to love. Quieter anxiety. And prayers that are more patient...#senjamu",Anxiety
194,"Since then, the chicken cake has been restless and wants to lay eggs.",Anxiety
195,Do not compare yourself to others. Envy only makes restless soul. Be yourself.,Anxiety
196,"The 5 dream ones were moved to a new unit, so why isn't the Anjrit so worried?",Anxiety
197,"finished for the heart's intention to watch the series, I even thought about it. I'm worried",Anxiety
198,"""No regrets or grudges/angry at things that have passed, and don't put too much anxiety over the record period #COYS",Anxiety
199,"Usually, if you're restless for a long time, surely after that something will happen or not",Anxiety
200,"Have you ever thought of something and then immediately forgot it then thought you were thinking about this bastard, I don't remember it, so I was restless",Anxiety
201,"Dialogue in the morning.. to yourself, restless and restless accompanying it, hoping someone will understand-",Anxiety
202,I'm the only one who's nervous.,Anxiety
203,I'm starting to worry,Anxiety
204,"In my father's family, everyone is smart, I'm sure the expectations for me are also high it makes me very anxious to think about this huhu",Anxiety
205,"Already complete. Disappointed with a broken heart. Produces a sense of restlessness. I don't know, hopefully all of this ends beautifully",Anxiety
206,"when your bipolar relapse welcome shortness of breath, tremors, anxiety, fear, selfharm etc",Anxiety
207,"How come lately I'm not feeling well, like mellow, not calm, restless",Anxiety
208,"When you think about it and don't finish it, it feels really restless",Anxiety
209,I'm worried.. I'm in a bad mood.. but excited to see law school..,Anxiety
210,"Yes, what will happen later :'), I'm worried that I can control my emotions",Anxiety
211,"I'm really nervous about choosing between boring or chilling, PLEASE",Anxiety
212,"oh my god why have you been a week, you're so nervous, it's really bad aaa",Anxiety
213,"people seem calm, happy like there's no problem because only one smile we throw out but sad, restless and anxious millions of which we keep to ourselves, only we know.",Anxiety
214,"In the past, if you knew there were people who didn't like me, you would immediately be worried, sad, find out why someone didn't like you.",Anxiety
215,"Fearful. Often experiences feelings of extreme worry, sadness, or anxiety.",Anxiety
216,"crazy, why are you nervous? *plays yo-yo*",Anxiety
217,"a lot of work tomorrow a suddenly meeting, stomach acid rises, dizziness, can't sleep, restless. what should i do",Anxiety
218,"Unsettled !! That's when there is a test. But face it and get over it. It's been like that since the school days, the present can't be done like that. It could be",Anxiety
219,"Panic, don't know what to panic about. Restless alone, think too",Anxiety
220,"I can't stop, my nutmeg pops up eyes that I have to look at when I'm anxious",Anxiety
221,"I'm really scared, nervous every day…",Anxiety
222,how do you stay calm so nervous after reading this.,Anxiety
223,"Strange. I don't have work today and I have a bit of free time so I can read shrill novels but... it feels weird. I've been nervous about checking the google calendar just in case if I read it wrong. But it's still weird, how about this, like you should be looking for a job to get rid of this feeling.",Anxiety
224,Is there something that makes me nervous,Anxiety
225,"I don't know why, after every Eid prayer, I suddenly feel restless, it's not clear in the end, I'm not in the mood for friendship or what people usually do on Eid :(",Anxiety
226,"If you are stuck sleeping at 11am until set 12. If you are more than that, you will be anxious, why are you?”",Anxiety
227,"Have you ever been so nervous, scared, and anxious that you want to throw up?",Anxiety
228,Do not compare yourself to others. Envy only makes restless soul. Be yourself.,Anxiety
229,"When I'm done with this, why do I feel so dizzy.... But I swear I don't want to sleep, I'm really nervous when I'm told to sleep.",Anxiety
230,"I don't know whether to be happy or sad. And don't know how long this feeling will last? I'm the one who feels it just great every day coy.. confused about my own feelings. Sllu not calm, restless. But, just give up.. there is God. My son, yes.. Shaina can.",Anxiety
231,"I just want to pass, there are so many obstacles « I'm so tired guyssss I want to rest for a while but I can't seem nervou",Anxiety
232,"It's true that social media is fun, you have to look for health, if it only makes you nervous, what do you do",Anxiety
233,"Starting to get restless...Others have started praying Isha, I'm not solemn, the cat is getting closer...Finally canceled the prayer to get rid of the cat",Anxiety
234,What do you do when you're anxious when you're anxious? i used to write something every time i have a lot of thoughts or worry about things that are not sure... but now... idk what to do </3,Anxiety
235,I'm so nervous ° [],Anxiety
236,I like to worry tbtb,Anxiety
237,"When you're working on something, and suddenly feel restless and anxious even though nothing's going on...haha what's the matter, my self",Anxiety
238,Don't worry about it,Anxiety
239,very nervous :'),Anxiety
240,"I like not knowing myself. Having a mentality that is very easy to get down, often feels worried or anxious, has difficulty controlling thoughts, is very easily hurt. Sometimes what makes us suffer is to think too much about what other people say.",Anxiety
241,"I'm confused when I've finished something, what's next? I feel like everything is already there, but what's missing? The default is restless",Anxiety
242,"Honestly, from the past until now, since the last 4 years, my biggest enemy in writing is anxiety. There is no such detailed reason, it's just that I suddenly get nervous and it's not clear, so sometimes if it's really bad it can stop writing for months.",Anxiety
243,I'm even worried about myself :((,Anxiety
244,"people seem calm, happy like there's no problem because only one smile we throw out but sad, restless and anxious millions of which we keep to ourselves, only we know.",Anxiety
245,"She worries a lot, so she cries a lot.",Anxiety
246,"troubled, restless heart, restless soul.",Anxiety
247,why did I feel so nervous earlier?,Anxiety
248,"I'm really restless when I just wake up, I feel like I immediately get bad thoughts and it's really every day",Anxiety
249,oh my god so nervous,Anxiety
250,"Feeling anxious like this, every time you want to work, you have to feel anxious and not calm",Anxiety
251,"Even though I am calm like a fish, I am restless like a wave in the ocean. - RUMI..#MCO3",Anxiety
252,"guys, how do you feel, every day you feel like you're really worried about your thesis, the trial schedule for August is great and until now it's still floating, you want to make revisions like your brain is empty, but every day you're so worried that you're shaking",Anxiety
253,Restless and restless.. Mboh... lah..,Anxiety
254,Other people don't know I feel anxious every day.,Anxiety
255,umami mami mami this heart is restless,Anxiety
256,"I wake up this feeling of restlessness, the title is... I sleep late, I still wake up in the morning",Anxiety
257,"a little anxious, a lot afraid",Anxiety
258,I'm afraid the anxiety is too much because I'm already in the phase of being really scared,Anxiety
259,"What exactly is making me nervous, please, tell me!",Anxiety
260,"a few days ago restless, today menses. I've just read that restlessness is a symptom of PMS. so who gave this anxiety, thesis or pms?",Anxiety
261,"Oh, I'm so nervous, bro :(",Anxiety
262,"Eid is getting closer. Oh God, I feel so lazy to meet a big family, I'm too lazy to ask a lot of questions, it's not okay, I'm not comfortable, I'm really worried, fuck the life",Anxiety
263,"Suddenly restless, not even 5 minutes immediately severe nausea. It's true that stomach acid is the fastest way to get sick if you have thoughts ' »",Anxiety
264,What is the sign of restlessness -_-,Anxiety
265,"They say I'm strong, I'm stoned, I always have panic attacks when I'm restless at night, it's not clear who knows, I don't leave my room all day because I'm so tired, I'm so tired, some people care, they say I'm lazy, even though they don't know why I'm like that. It seems like my mental health is not important",Anxiety
266,"so please be worried, what version will I get ™‚",Anxiety
267,restless and agitated,Anxiety
268,"For the past few days, he's been a bit restless, he's not calm like that.",Anxiety
269,"I swear I'm nervous, why are you?",Anxiety
270,"I've been so restless all day, why is it even though there's nothing... calm after praying, after that, I'm restless again",Anxiety
271,"It's so toxic, every night I'm always afraid of forgetting to do something I'm so nervous gt anjr",Anxiety
272,"Today's energy is very heavy. You have to go to the doctor, have an ultrasound, then an X-ray. The results will be known tomorrow. Ugh, so worried.",Anxiety
273,"Time is slow for those who wait, too long for those who are restless, and too short for those who are happy. ",Anxiety
274,Feeling restless is the worst thing .ever.,Anxiety
275,"Every night before this night, I always worry about what drama will happen tonight, my baby boy If there's no husband, this is really crazy",Anxiety
276,"Why be afraid of pain when all of our feelings can be created!.. There will always be calm, on the sidelines of anxiety waiting to subside...",Anxiety
277,I'm so worried why yh.,Anxiety
278,"Restless restlessness accompanied, hoping someone would understand, wishing he wasn't here.",Anxiety
279,"I'm so nervous, I'm hungry too Bismillah yaa",Anxiety
280,Say! Are you worried about your health? Any tips so you don't worry too much?,Anxiety
281,"I don't feel good, I'm not calm, I'm just restless :( let's do a lot of dhikr",Anxiety
282,I'm a bit scared and nervous...,Anxiety
283,starting to get restless with life's journey like this,Anxiety
284,restless eh,Anxiety
285,Why am I so nervous?!!!,Anxiety
286,how do you get rid of anxiety,Anxiety
287,"I'm so restless, why isn't it",Anxiety
288,Why are you so worried since yesterday...,Anxiety
289,"O Allah, I just ask for a safe and peaceful life without being haunted by anxiety, O Allah",Anxiety
290,"For a long time, my heart feels like it's going to burst when it's restless",Anxiety
291,"Now, he's always anxious every day, it feels like he's waiting for a thesis trial, you know. I understand it feels nervous, worried, afraid. what's the difference now that you don't know what you're worried about",Anxiety
292,The habit of being anxious is clear,Anxiety
293,,Anxiety
294,sleep but restless. understand?,Anxiety
295,"I'm nervous but I don't know why, it's really not that good, I've been nervous. Hope all is well",Anxiety
296,"Anjir is so restless today, what's wrong?",Anxiety
297,"The restlessness that hit, really disturbs the atmosphere",Anxiety
298,"Shit! I'm addicted to playing cellphones so that if I don't have a cellphone, I feel restless. How do you get rid of it",Anxiety
299,"um! Pls, how do I feel afraid to go out of the house because I'm afraid to meet people, I don't know why, even though I wasn't like this before, I used to be nervous, then I'm so anxious I'm so sweaty",Anxiety
300,Why are you so nervous :(((,Anxiety
301,"It seems like I'm really at the anxiety stage every time I open WhatsApp. It feels really anxious, scared, nervous, feeling guilty, feeling useless. I want to disappear, but discussing assignments and exhibitions there, all of them...",Anxiety
302,"That's if you're worried/worried, the parno is too much. ^^",Anxiety
303,very nervous,Anxiety
304,Restless restlessness accompanies,Anxiety
305,hello? buddy it's been a long time since jbjb mutual. My account still looks like an RT bot huh .. tbh lately I've been feeling tired. Anxiety always comes suddenly for no reason so I think I hate myself even more. even yesterday i got to the point where the thought of hurting myself came to my brain,Anxiety
306,-11fess starts again every night is restless :)))),Anxiety
307,"One by one the family (women) who were almost the same age as Mama died. and the average below mama. starting to worry.....hope you are always healthy, ma ™",Anxiety
308,"It used to be beautiful. But now it's real. Feels restless, restless, etc.;(",Anxiety
309,"""No regrets or grudges/angry at things that have passed, and not worrying too much about the future, that's true serenity.""",Anxiety
310,"Can't sleep because I'm worried it's not really good, I can't take it to watch too",Anxiety
311,Seems like it's a lot of sin when you're so restless,Anxiety
312,"Shit, worry again, throw up again!",Anxiety
313,how about a prolonged period of anxiety..,Anxiety
314,"My mind is really divided, until I fell asleep like I was feeling anxious, but I don't know what to worry about.",Anxiety
315,"There is excessive anxiety today, .And, there is another.",Anxiety
316,"I really do this istikhara prayer. The excitement is not crazy, I'm really worried",Anxiety
317,"Fwb, how do you calm a restless heart? It's not a boy problem. I'm f20",Anxiety
318,The combination of anxiety and anxiety gives me a terrible headache..,Anxiety
319,Very worried,Anxiety
320,"worry too much at this hour, God is so annoying",Anxiety
321,Tired of being restless every day :'(,Anxiety
322,Too nervous,Anxiety
323,"every time you gassy, ​​atine must be restless,, ono sing koyo ngono ga??",Anxiety
324,The default is so restless haha,Anxiety
325,Confused since yesterday feeling restless but don't know what to worry about,Anxiety
326,Q: Does anyone know of a sedative so you don't get excited? I wake up restless every time I don't know why or do I have any other suggestions so that it doesn't continue like this. thank you,Anxiety
327,I'm dancing on the edge of restlessness,Anxiety
328,"Yoo, why are you nervous, yo",Anxiety
329,"Every time I hear that my friend wants to go to trial, I like to be nervous, it's not clear, I need to hurry to clean it too, but if I'm in a hurry because I see people are afraid, it's not really right :( wkwkwk",Anxiety
330,"It's anjir, the past few days it's been really messy, so I'm nervous why the assignments don't show up . Usually Monday/Tuesday there are assignments and the deadline is Wednesday/Thursday -_-",Anxiety
331,"I want to ask, but I'm afraid. If you don't ask, you'll get even more restless",Anxiety
332,Waiting anxiously,Anxiety
333,but my heart is still restless even though my mouth is talking,Anxiety
334,Don't worry even more about this dog,Anxiety
335,"Haven't prayed yet so restless, want to pray still lazy. Astaghfirullah",Anxiety
336,why are you so nervous have mixed feelings,Anxiety
337,Why are you so nervous ²,Anxiety
338,even though I don't miss anyone but I'm still restless,Anxiety
339,"This is how it feels.. not calm, restless don't know why, I wake up and wake up, my heart feels like it's piling up thinking about something..",Anxiety
340,Feeling restless,Anxiety
341,"Panic, restlessness right now “ˆ",Anxiety
342,"I just want to sleep, oh God, I'm not even sure it's clear",Anxiety
343,very restless,Anxiety
344,"don't want to sleep, don't be restless far",Anxiety
345,"Want to sleep, all restless",Anxiety
346,"I get traumatized. when he was a child, he was said to be ugly because he had a mole. When I grew up around high school I was also said to be ugly with a guy. Do you have a mole, is it a defect? is it a mistake i have a mole? I don't know why lately I'm starting to worry about this problem again",Anxiety
347,I shouldn't worry about fate. Because even a leaf God has arranged to fall when and where,Anxiety
348,"[Cm] Please calm me down, friends â. Say ""it's okay"" if my research is taking a long time. ""It's okay"" if you haven't written a thesis yet. ""It's okay"" if graduation is a bit behind the plan. Is that okay??? â. I'm starting to get restless myself :(( my research is already 5 months because (+2 months internship)ðŸ˜",Anxiety
349,"When “relying on yourself” is the best answer to forget anger, anxiety, and disappointment",Anxiety
350,2 weeks until the exam and already starting to get restless and have a lot of thoughts,Anxiety
